x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,label,index
6,31,446358,6,10,2,5,4,0,0,0,40,-1.0,15402
8,42,143046,5,9,5,3,4,1,0,0,40,-1.0,13653
0,38,41591,3,13,13,4,2,0,0,0,30,-1.0,27060
6,53,152810,6,14,8,5,4,0,0,1977,55,1.0,14090
6,33,182423,1,9,0,3,3,0,0,0,40,-1.0,16367
6,31,114691,6,9,2,5,4,0,0,0,40,1.0,26170
6,41,266510,3,9,0,2,4,0,0,0,40,-1.0,4293
6,25,101812,6,11,12,5,4,0,0,0,41,-1.0,13141
5,58,175873,6,10,10,5,4,0,0,0,40,1.0,9250
6,25,187653,3,9,1,4,4,0,0,0,48,-1.0,8998
6,36,174887,3,10,14,4,4,1,0,0,40,-1.0,22214
6,48,109421,6,13,4,5,4,0,0,0,55,-1.0,22985
8,41,168071,1,9,8,2,4,0,0,0,45,-1.0,21650
4,49,143482,6,10,4,1,4,1,0,0,65,1.0,30499
8,51,74784,5,10,10,4,4,1,0,0,40,-1.0,15059
6,40,233320,0,4,0,4,4,1,0,0,25,-1.0,19727
6,47,141511,6,16,4,5,4,0,0,0,60,1.0,18049
6,20,117476,6,10,13,5,4,0,0,0,40,-1.0,19575
6,24,207940,6,9,0,1,4,1,0,0,30,-1.0,8815
6,36,136343,6,13,4,5,4,0,0,0,40,1.0,14336
6,40,140559,6,9,6,1,4,1,0,0,45,-1.0,23881
6,45,278151,6,9,9,5,4,0,0,0,40,-1.0,20670
1,36,116554,3,13,10,4,4,1,0,0,40,-1.0,8480
6,45,179659,6,13,13,5,4,0,3103,0,40,1.0,30931
1,57,254949,6,9,8,5,4,0,0,0,40,1.0,16419
6,29,244473,6,11,14,5,4,0,0,2051,40,-1.0,26822
2,28,230704,3,9,7,4,3,0,0,0,40,-1.0,5317
6,23,442274,3,8,10,3,4,0,0,0,40,-1.0,24078
6,18,163332,3,9,12,2,4,1,0,0,22,-1.0,9035
6,19,73190,3,10,1,2,4,0,0,0,20,-1.0,17289
1,49,122177,6,10,2,5,4,0,0,0,40,1.0,7864
6,35,228190,6,9,5,5,3,0,0,0,40,-1.0,8898
6,27,205440,6,6,2,5,4,0,0,0,40,-1.0,15830
6,38,218729,1,9,0,4,4,1,0,0,25,-1.0,19454
2,35,320084,6,13,7,1,4,1,0,0,55,1.0,32500
2,20,96862,3,10,7,2,4,1,0,0,8,-1.0,2219
2,20,41035,3,10,7,2,4,0,0,0,20,-1.0,18081
0,51,353281,0,9,0,3,4,1,0,0,20,-1.0,27149
6,23,119704,0,10,12,3,4,1,0,0,40,-1.0,24727
6,49,34446,6,10,5,5,4,0,0,0,40,-1.0,24657
1,28,175325,6,9,9,5,4,0,0,0,40,-1.0,171
6,30,112383,6,9,5,5,4,0,0,0,45,-1.0,25931
6,41,244945,6,10,8,5,4,0,0,0,40,-1.0,16913
6,49,192894,6,9,13,5,4,0,0,0,40,1.0,20901
6,27,297457,3,9,10,2,3,0,0,0,40,-1.0,29975
6,55,173093,1,10,10,4,1,1,0,0,40,-1.0,730
6,49,34545,6,10,8,5,4,0,0,1887,40,1.0,31138
6,58,187067,3,13,4,4,4,1,0,0,62,-1.0,23492
0,62,134768,6,8,13,5,4,0,0,0,40,1.0,2345
2,60,131852,6,3,7,5,4,0,0,0,30,1.0,2210
6,21,138816,3,9,1,2,3,0,0,0,20,-1.0,30438
6,64,312498,6,13,12,5,4,0,0,0,40,-1.0,28345
6,50,41890,6,9,13,5,4,0,0,0,40,-1.0,30143
6,20,170800,3,10,11,2,4,1,0,0,40,-1.0,1521
6,33,221762,3,10,4,4,3,0,0,0,40,-1.0,5775
6,62,138621,0,11,6,4,3,1,0,0,20,-1.0,29399
6,33,159247,6,13,4,5,4,0,0,0,40,1.0,8546
6,52,110563,6,10,8,5,4,0,0,0,40,1.0,19189
6,25,148300,3,13,4,2,4,1,0,0,15,-1.0,16305
8,55,123382,0,11,4,3,3,1,0,0,35,-1.0,5601
6,43,227065,6,14,8,5,4,0,0,0,43,1.0,950
4,39,189092,6,13,8,5,4,0,0,0,45,-1.0,9435
6,26,515025,6,6,1,1,4,1,0,0,40,-1.0,7500
6,17,137042,3,6,4,2,4,0,0,0,20,-1.0,5200
6,38,153066,1,14,8,4,4,0,0,0,45,1.0,15183
6,34,198091,6,9,13,5,4,0,0,0,72,-1.0,25778
6,63,383058,6,13,12,5,4,0,0,1848,40,1.0,23236
1,42,219682,1,14,8,4,4,0,0,0,45,-1.0,26196
4,38,107909,6,13,12,5,4,0,0,0,40,1.0,14858
6,40,266084,1,10,13,0,4,0,0,0,50,-1.0,9467
5,45,171335,6,14,12,5,4,0,0,0,50,1.0,11321
1,27,431637,3,15,4,4,4,0,0,0,70,-1.0,15219
6,26,142506,3,13,4,3,3,1,0,0,35,-1.0,18765
6,30,94245,6,10,1,5,4,0,0,0,40,-1.0,23759
6,42,204235,6,10,4,5,4,0,0,0,40,1.0,10362
5,48,96854,3,10,10,4,4,0,0,0,30,-1.0,12623
6,60,232242,6,9,12,5,4,0,0,0,40,-1.0,31322
0,38,261382,6,10,5,5,4,0,0,0,40,-1.0,29900
6,39,306646,6,10,12,5,4,0,3103,0,50,1.0,12739
0,66,291362,6,15,4,5,4,0,0,0,50,-1.0,7489
6,27,213421,3,15,4,4,4,0,0,0,50,-1.0,19177
6,61,202952,1,6,0,4,3,1,0,0,24,-1.0,8517
6,32,217460,6,5,5,5,4,0,0,0,50,-1.0,30821
6,30,149184,6,13,8,5,4,0,0,0,45,1.0,5585
5,50,184007,6,10,10,5,4,0,0,0,40,-1.0,25979
6,27,102889,1,10,2,3,4,1,0,0,40,-1.0,28024
6,20,275691,3,9,1,2,4,0,0,0,28,-1.0,1158
6,49,206947,1,9,10,4,4,1,0,0,40,-1.0,25541
6,22,243842,3,5,13,2,4,0,0,0,40,-1.0,16239
6,29,183061,6,9,13,5,2,0,0,0,48,-1.0,6623
6,31,219619,3,9,12,0,4,0,0,0,48,-1.0,21003
6,17,206506,3,6,1,0,4,0,0,0,10,-1.0,19453
6,19,417657,3,9,1,2,4,0,0,0,50,-1.0,3255
2,41,27187,6,11,7,5,4,0,0,2415,12,1.0,11572
6,40,218903,1,9,14,3,4,1,0,0,40,-1.0,2702
6,19,275889,3,7,1,2,4,0,0,0,40,-1.0,2719
6,24,161708,1,9,8,4,4,1,0,0,45,1.0,2600
6,30,337494,3,12,2,4,4,0,0,0,48,-1.0,27425
2,62,302142,6,9,7,5,4,0,2961,0,30,-1.0,20707
1,24,208826,3,16,4,4,4,1,0,0,99,-1.0,12782
0,42,32185,6,13,11,5,4,0,0,0,60,1.0,11808
2,21,230397,3,10,7,2,4,1,0,0,5,-1.0,2927
6,45,129387,1,12,14,3,4,1,0,0,40,-1.0,18220
6,18,257980,3,9,2,4,4,0,0,0,40,-1.0,31733
6,52,117496,1,13,4,3,4,1,0,1755,40,1.0,29650
6,32,400535,6,9,13,5,4,0,3781,0,40,-1.0,7502
6,41,187881,6,10,12,5,4,0,3942,0,40,-1.0,9596
2,29,153167,3,10,7,2,3,1,0,0,40,-1.0,19842
2,23,141003,3,9,7,2,4,0,0,0,60,-1.0,11040
6,33,403468,6,9,2,1,4,1,0,0,40,-1.0,28377
6,61,40269,6,10,12,5,4,0,0,0,40,1.0,9772
6,29,370494,3,9,0,3,4,1,0,0,40,-1.0,4559
6,38,36989,6,13,0,5,4,0,3908,0,70,-1.0,14319
0,40,29036,3,10,2,4,4,0,0,0,35,-1.0,28584
6,28,186239,3,10,10,3,3,1,0,0,40,-1.0,19865
6,47,192835,6,9,10,5,4,0,0,0,50,1.0,992
6,62,177791,1,6,0,2,4,1,0,0,40,-1.0,25706
0,54,168723,6,9,12,5,4,0,0,0,40,-1.0,20801
6,30,170154,3,13,14,4,4,1,0,0,40,1.0,6866
6,23,277328,3,10,1,2,4,0,0,0,32,-1.0,8015
6,23,348420,3,13,14,4,4,0,0,0,40,-1.0,26812
6,32,194901,6,9,10,5,4,0,0,0,40,-1.0,11889
6,45,362883,6,9,13,5,4,0,5013,0,40,-1.0,14330
6,24,174461,3,13,12,4,4,1,0,0,50,-1.0,7778
0,64,134960,6,13,8,5,4,0,15024,0,35,1.0,1733
6,20,373935,3,9,1,2,4,0,0,0,35,-1.0,26775
0,36,151094,0,11,8,4,4,0,0,0,48,-1.0,14775
6,31,91964,3,13,8,4,4,0,0,0,40,-1.0,24073
6,26,192652,3,13,0,2,4,0,0,0,40,-1.0,26896
6,50,185846,6,9,12,5,4,0,0,0,55,1.0,20831
1,34,56964,6,16,4,1,4,1,0,0,50,1.0,24261
4,25,133373,3,13,12,4,4,0,0,0,80,-1.0,29466
2,31,182191,6,13,7,1,4,1,4064,0,30,-1.0,18790
6,29,84560,3,9,1,2,4,0,0,0,40,-1.0,26680
8,40,202872,6,14,4,1,4,1,0,0,40,1.0,26620
6,35,101509,1,10,8,4,4,1,0,0,40,-1.0,28931
6,17,566049,3,6,0,2,4,0,0,0,8,-1.0,22404
6,35,189092,6,13,8,5,4,0,0,0,40,1.0,31924
6,64,63676,6,6,0,5,3,0,0,0,40,-1.0,23032
6,19,301606,3,10,0,2,3,0,0,0,35,-1.0,124
8,20,312427,6,9,9,5,3,0,0,0,30,-1.0,25349
6,20,86143,3,10,0,0,1,0,0,0,30,-1.0,32082
6,21,198992,3,9,12,4,4,1,0,0,33,-1.0,8391
6,67,228200,6,9,6,1,3,1,0,0,20,-1.0,25844
6,46,45363,1,15,4,4,4,0,0,2824,40,1.0,18782
0,59,32855,6,4,11,5,4,0,0,0,70,-1.0,21402
0,42,109273,3,10,13,3,4,0,0,0,40,-1.0,25833
5,38,91716,6,9,10,5,4,0,0,0,40,-1.0,11263
5,43,156996,6,15,4,5,1,0,0,2415,55,1.0,18399
6,23,33884,0,10,12,3,4,1,0,0,40,-1.0,22578
6,32,196342,3,16,4,4,4,0,0,0,40,1.0,12297
6,29,253814,3,13,8,4,4,1,0,0,45,-1.0,8545
6,23,273206,3,13,10,4,4,1,0,0,23,-1.0,7413
1,39,189385,0,10,8,3,3,1,0,0,30,-1.0,6189
6,45,206459,6,10,10,5,4,0,0,0,40,-1.0,26297
8,51,186416,1,13,10,4,4,1,0,0,40,-1.0,25578
6,23,267471,3,8,12,2,4,1,0,0,25,-1.0,32125
6,33,405913,6,10,4,5,4,0,0,0,40,1.0,28870
6,23,122048,3,9,2,4,4,1,0,0,40,-1.0,10190
5,27,188343,0,9,8,3,3,1,0,0,40,-1.0,2536
6,38,329980,3,13,8,4,4,0,0,0,55,-1.0,23354
6,19,304643,3,10,12,2,4,0,0,0,20,-1.0,9652
6,28,189346,1,9,13,4,4,0,0,0,45,-1.0,513
6,29,26451,6,9,1,5,2,0,0,0,40,-1.0,22041
6,27,204788,3,9,10,4,4,1,0,0,40,-1.0,8873
6,26,162302,3,10,2,4,1,0,0,0,40,-1.0,18703
6,18,78045,6,7,1,2,4,0,0,0,40,-1.0,5064
0,62,158712,3,9,0,3,4,1,0,0,6,-1.0,20101
6,38,155222,1,10,2,4,3,1,0,0,28,-1.0,190
6,33,226629,6,10,0,1,4,1,0,0,35,-1.0,14581
6,69,177374,5,9,10,3,4,1,1848,0,12,-1.0,12131
0,54,200960,6,13,12,5,4,0,0,0,50,1.0,24436
6,46,99835,6,15,4,5,4,0,0,0,60,1.0,1667
6,51,162944,6,9,13,5,4,0,0,0,40,-1.0,5223
4,39,151029,6,9,8,5,4,0,0,0,40,1.0,5602
1,22,293364,3,10,9,2,3,1,0,0,40,-1.0,344
6,25,104993,3,5,1,2,3,0,2907,0,40,-1.0,26425
0,41,197176,6,13,11,5,4,0,0,0,75,1.0,20196
6,32,157287,6,13,12,5,4,0,0,0,40,-1.0,2191
4,63,215833,6,9,8,5,4,0,0,0,40,1.0,2251
6,48,174386,6,14,4,5,4,0,0,0,40,1.0,13110
5,28,188278,3,13,9,4,4,0,0,0,50,-1.0,19563
8,36,298717,6,9,8,5,4,0,0,0,40,-1.0,27128
1,56,466498,6,11,13,5,3,0,0,0,60,1.0,12473
6,26,371556,3,10,10,4,4,1,0,0,40,-1.0,23045
6,33,75167,6,9,5,5,4,0,0,0,55,-1.0,16556
6,41,203233,6,9,8,5,4,0,0,0,40,1.0,10762
6,37,120074,3,9,5,4,4,0,0,0,40,-1.0,20732
1,35,237873,3,9,0,3,3,1,0,0,40,-1.0,17903
6,18,60981,3,10,12,2,4,1,2176,0,35,-1.0,25399
6,29,221977,6,10,10,1,4,1,0,0,40,1.0,14866
6,43,133584,1,9,13,4,4,0,0,0,40,-1.0,17154
6,38,108907,1,9,13,4,4,0,0,0,40,-1.0,28816
6,27,236246,6,12,8,5,4,0,0,0,40,-1.0,9333
6,68,67791,5,10,12,4,4,0,0,0,40,-1.0,1892
6,49,122493,5,9,14,3,4,0,0,0,40,-1.0,2138
6,41,198965,6,9,2,5,4,0,0,0,40,-1.0,23422
8,34,202729,6,9,9,5,4,0,0,0,40,-1.0,1651
6,28,221366,3,10,13,2,4,0,0,0,40,-1.0,12453
6,30,323054,1,6,0,4,2,0,0,0,40,-1.0,17179
6,36,174717,6,13,4,5,4,0,7688,0,40,1.0,15487
4,39,218184,6,5,8,5,4,0,0,1651,40,-1.0,1101
6,37,183800,6,13,8,5,4,0,0,0,40,1.0,18095
8,40,63042,6,13,4,1,4,1,0,0,40,1.0,15568
0,75,31428,6,9,11,5,4,0,3456,0,40,-1.0,30893
6,34,290763,1,9,1,2,4,1,0,0,40,-1.0,1113
6,43,149909,6,9,13,5,4,0,0,0,42,1.0,13170
6,33,356823,3,13,4,4,4,1,10520,0,45,1.0,29518
6,41,106679,3,14,8,4,4,0,27828,0,50,1.0,27632
6,46,63299,6,9,0,5,4,0,0,0,50,-1.0,26094
6,54,43269,6,9,5,5,4,0,0,0,50,1.0,5662
5,70,163003,6,9,10,5,3,0,0,0,40,-1.0,1463
6,31,147215,1,8,0,3,4,1,0,0,21,-1.0,5386
0,58,204816,6,10,8,5,4,0,0,0,60,1.0,6143
6,28,167336,3,10,8,4,4,1,10520,0,40,1.0,30464
2,69,167826,6,13,7,5,4,0,0,0,40,-1.0,9645
6,41,82049,6,9,13,5,4,0,0,0,40,1.0,6108
6,20,122346,3,9,2,2,4,0,0,0,40,-1.0,18330
6,29,167716,1,9,0,3,4,1,0,0,99,-1.0,15525
6,54,171924,6,9,5,5,4,0,0,0,70,-1.0,32256
2,35,129305,6,9,7,5,4,0,0,0,40,-1.0,128
6,28,309196,3,13,9,4,4,1,0,0,40,-1.0,14981
6,34,37646,6,12,13,5,4,0,0,0,65,-1.0,29762
6,33,323619,3,10,10,3,4,1,0,0,40,-1.0,3488
6,34,160449,6,9,2,5,4,0,0,0,44,1.0,2422
6,43,328570,1,10,2,3,3,1,0,0,38,-1.0,30157
0,34,304622,1,13,4,3,4,1,0,0,50,-1.0,12179
6,60,93997,6,13,8,5,4,0,15024,0,45,1.0,27095
6,41,95047,6,11,10,1,4,1,7688,0,44,1.0,4537
6,43,170214,6,10,8,5,4,0,0,0,50,1.0,6479
6,43,57322,1,12,13,4,4,0,0,0,40,-1.0,1789
6,25,90291,3,13,8,2,4,0,0,0,40,-1.0,2111
2,46,443179,1,13,7,4,4,1,0,0,8,-1.0,10678
6,28,50814,3,9,4,4,4,1,0,0,40,-1.0,3583
6,29,247053,0,9,0,4,4,1,0,0,40,-1.0,23519
6,34,499249,2,9,1,4,4,0,0,0,40,-1.0,4976
6,42,193626,6,9,10,1,4,1,0,0,53,-1.0,2117
6,41,237321,6,2,2,5,4,0,0,0,40,1.0,2814
6,26,39212,6,9,2,5,4,0,0,0,45,-1.0,27225
2,55,270228,6,12,7,5,3,0,7688,0,40,1.0,19827
6,32,133861,3,13,8,4,4,0,13550,0,48,1.0,18956
6,44,162184,0,10,10,3,4,1,0,0,40,-1.0,12612
2,55,193895,1,4,7,3,4,1,0,0,40,-1.0,29788
6,38,51100,1,13,8,4,4,0,3325,0,40,-1.0,9111
6,24,112854,3,10,14,4,4,1,0,0,16,-1.0,7869
6,35,144608,6,9,2,5,4,0,0,0,40,-1.0,24625
6,37,190964,0,9,8,2,4,0,0,0,40,-1.0,7006
4,58,210563,6,9,12,1,4,1,15024,0,35,1.0,208
6,49,122206,6,11,12,5,4,0,0,0,25,-1.0,31252
6,51,128272,6,10,8,5,4,0,0,0,40,-1.0,28037
0,57,138892,6,7,12,5,4,0,0,0,15,-1.0,5638
6,48,268234,1,9,13,4,4,0,0,0,50,-1.0,21666
2,73,132737,3,6,7,4,4,0,0,0,4,-1.0,4461
6,43,187322,6,13,13,5,4,0,0,0,40,1.0,6246
1,24,90046,3,10,0,4,4,1,0,0,40,-1.0,28275
6,61,154600,6,9,0,1,4,1,0,0,4,-1.0,31496
2,58,169982,6,10,7,5,4,0,0,0,40,1.0,1174
6,43,352005,6,13,12,5,4,0,15024,0,45,1.0,9305
8,34,177675,6,13,8,5,4,0,0,0,55,1.0,5597
5,34,198265,6,13,9,5,4,0,0,0,60,-1.0,9339
5,51,160703,6,9,10,5,4,0,0,0,40,-1.0,9858
4,47,116927,6,9,8,5,4,0,0,0,42,1.0,7282
6,61,149620,1,10,0,4,3,0,0,0,40,-1.0,32382
6,20,190227,3,14,8,2,4,0,0,0,25,-1.0,31026
6,26,322614,2,1,2,4,4,0,0,1719,40,-1.0,7890
6,26,203777,3,10,12,4,3,1,0,0,37,-1.0,27218
6,46,136162,1,11,12,3,4,1,0,0,40,-1.0,14821
0,48,397466,6,10,8,5,4,0,0,0,60,-1.0,1250
0,25,209384,3,9,0,0,4,0,0,0,32,-1.0,3582
6,23,151888,1,9,13,4,4,0,4650,0,50,-1.0,20619
6,36,190350,3,9,10,4,3,1,0,0,40,-1.0,6225
8,42,445382,0,13,8,4,4,0,0,0,45,1.0,1893
6,47,33710,6,13,8,5,4,0,3103,0,60,1.0,11594
6,17,183110,3,7,1,2,4,0,0,0,16,-1.0,28730
6,43,172364,0,9,8,4,4,1,0,0,48,-1.0,29329
6,64,321166,1,13,12,4,4,1,0,0,5,-1.0,4204
0,18,207438,6,9,0,1,4,1,0,0,40,-1.0,19195
6,43,293176,6,13,12,5,4,0,0,0,40,1.0,16924
4,44,78374,1,14,8,3,1,1,0,0,40,-1.0,162
6,37,117381,6,9,14,5,4,0,0,0,80,1.0,11151
6,39,174368,6,9,10,1,4,1,0,0,40,1.0,5519
6,27,185647,6,9,2,5,4,0,0,0,50,1.0,10262
6,36,65624,3,13,4,4,4,0,0,0,40,-1.0,21815
4,38,269318,6,10,8,5,4,0,7298,0,40,1.0,12569
6,53,312446,6,13,8,5,4,0,0,0,60,1.0,29932
0,31,235237,6,10,12,5,3,0,0,0,60,1.0,5404
0,32,350624,6,8,13,5,4,0,0,0,40,-1.0,2416
6,18,201901,3,7,12,2,4,1,0,0,10,-1.0,5504
0,30,113838,6,11,12,5,4,0,3137,0,60,-1.0,30839
6,21,163595,3,10,0,2,4,0,0,0,35,-1.0,13586
0,43,144218,6,8,5,5,4,0,0,0,60,-1.0,18668
6,46,261059,6,14,4,5,4,0,0,1977,50,1.0,28355
6,59,246262,6,10,14,5,4,0,0,0,40,1.0,15603
0,36,295127,6,9,11,5,4,0,0,0,84,-1.0,2426
6,37,421633,3,14,8,4,3,1,0,0,40,1.0,27748
6,26,152452,6,13,14,5,4,0,0,0,50,-1.0,18166
6,64,149775,3,14,4,0,4,1,0,0,8,-1.0,26726
2,57,50248,6,10,7,5,4,0,0,0,40,-1.0,30801
6,28,339372,3,10,12,4,4,0,0,0,40,-1.0,20989
8,49,116892,1,13,4,4,3,1,0,0,40,-1.0,1194
6,46,173613,1,9,10,4,4,1,0,0,40,-1.0,14329
4,44,359259,1,9,13,4,4,0,0,0,60,-1.0,26827
6,21,89991,3,10,10,2,4,1,0,0,40,-1.0,25587
6,19,294029,3,7,12,2,0,1,0,0,32,-1.0,23980
4,65,208452,6,10,12,5,4,0,0,0,35,1.0,4747
6,90,313986,3,7,1,2,4,0,0,0,40,-1.0,4067
6,44,110908,6,11,5,1,4,1,0,0,25,-1.0,29533
1,60,194252,6,14,8,1,4,1,3103,0,40,1.0,13998
6,27,147951,3,9,2,0,4,0,0,0,1,-1.0,11445
1,25,194954,6,10,0,1,4,1,0,0,15,-1.0,7344
6,62,113440,6,13,12,5,4,0,0,0,35,-1.0,15064
6,34,223678,3,9,0,3,2,1,0,0,32,-1.0,6898
5,33,122220,6,10,8,1,3,1,0,0,40,1.0,13472
6,22,133833,3,10,10,2,4,1,0,0,40,-1.0,16527
6,30,117747,6,9,12,1,1,1,0,1573,35,-1.0,93
6,23,200677,3,6,2,4,4,1,0,0,40,-1.0,11832
6,25,34803,3,13,8,2,4,1,0,0,20,-1.0,7883
6,45,205100,6,13,8,5,4,0,15024,0,60,1.0,9343
6,54,86837,6,9,13,5,1,0,0,1902,40,1.0,4900
6,22,153805,3,9,0,3,0,0,0,0,20,-1.0,21701
6,50,304260,1,12,10,4,1,0,0,0,40,-1.0,10379
5,35,23892,1,9,4,3,4,1,0,0,40,-1.0,21616
6,48,145636,6,9,2,5,4,0,0,0,60,1.0,28546
1,56,68658,6,10,8,5,4,0,0,0,40,1.0,30223
2,51,175985,6,9,7,5,4,0,0,0,40,-1.0,14530
0,35,348771,6,7,13,5,4,0,0,0,36,-1.0,26734
6,50,158948,6,4,13,5,4,0,3411,0,40,-1.0,17072
6,48,112906,6,14,5,5,4,0,0,0,55,1.0,10720
0,40,129298,6,9,0,5,4,0,0,0,45,-1.0,24690
6,21,226145,3,10,1,2,4,0,0,0,30,-1.0,7406
0,40,99651,6,10,4,5,4,0,0,0,60,-1.0,6720
6,28,138692,6,13,4,5,4,0,0,1887,40,1.0,24374
6,50,338033,3,10,0,4,4,0,0,0,32,-1.0,26263
6,50,88842,6,13,5,5,4,0,7298,0,40,1.0,2492
6,47,149337,3,13,10,4,4,0,0,0,60,-1.0,23047
1,53,281074,1,9,8,4,4,0,0,1092,40,-1.0,15769
6,29,150717,3,11,8,4,4,0,0,0,40,-1.0,18931
6,76,239880,1,9,10,4,4,1,0,0,8,-1.0,11961
6,33,131934,1,9,8,4,4,1,0,0,45,-1.0,26369
4,49,191681,6,10,8,5,4,0,0,0,50,1.0,68
6,43,260761,6,9,2,5,4,0,0,0,40,-1.0,32517
6,27,125298,3,10,10,3,4,1,0,0,50,-1.0,3992
6,34,252646,6,10,4,5,4,0,7298,0,50,1.0,26414
0,70,268832,6,11,11,5,4,0,0,0,24,1.0,28693
6,26,245628,3,7,1,3,4,0,0,0,20,-1.0,3351
1,39,55568,6,9,10,1,4,1,0,0,40,-1.0,18269
6,27,228472,6,13,13,5,4,0,0,0,45,1.0,4050
6,57,342906,6,5,12,5,3,0,0,0,55,1.0,24954
6,21,214716,3,10,10,2,4,1,0,0,10,-1.0,4413
6,25,122175,6,13,4,5,4,0,0,0,45,1.0,18999
6,49,176814,6,10,13,5,4,0,0,0,50,-1.0,6528
8,50,46401,1,13,4,3,4,1,0,0,50,-1.0,21918
6,64,102103,1,9,6,4,4,1,0,0,50,-1.0,4004
6,28,124680,3,9,12,3,4,1,0,0,70,-1.0,28502
2,59,117751,1,12,7,4,4,0,0,0,8,-1.0,3966
6,25,295919,3,12,10,3,4,1,0,0,40,-1.0,21491
6,62,210464,3,9,0,0,3,1,0,0,38,-1.0,10333
6,65,105491,6,13,8,5,4,0,99999,0,40,1.0,22730
6,32,211751,1,11,0,3,3,1,0,0,40,-1.0,26983
6,20,205895,3,10,12,2,4,1,0,0,20,-1.0,9525
4,59,349910,6,12,13,5,4,0,0,0,40,-1.0,30288
6,22,113936,3,9,1,2,4,0,0,0,40,-1.0,9204
4,25,148888,6,9,8,5,4,0,0,0,60,1.0,19878
2,75,114204,6,10,7,5,4,0,0,0,13,-1.0,30543
6,36,325374,6,10,13,5,4,0,0,0,40,-1.0,31185
6,33,183000,3,10,0,4,4,0,0,0,24,-1.0,15685
6,31,264864,6,9,2,1,2,1,0,0,40,-1.0,23704
1,34,259705,0,10,8,2,4,1,0,0,40,-1.0,17017
6,56,91905,6,9,12,1,4,1,0,0,4,-1.0,30377
8,46,149949,6,13,4,5,4,0,0,0,45,1.0,7509
